author_name,build_commit_sha,build_state,commit_time,owner,repo_name
Sam Verschueren,e66910e334be3510a66b67ef0b0bcdb683762660,passed,2015-03-28T18:33:08Z,SamVerschueren,gulp-api-doc
Sam Verschueren,7642e7a19e36ebda4ca208b302cd64418ab38844,passed,2017-04-06T15:00:06Z,SamVerschueren,gulp-api-doc
NullVoxPopuli,95d3504cecef3f7cf7602c959e8d89da9ad7c80d,errored,2015-05-03T00:57:54Z,NullVoxPopuli,aeonvera
NullVoxPopuli,52fb53455556f3a0c9eb20eaf8f7705ab27a9767,passed,2017-07-06T01:32:11Z,NullVoxPopuli,aeonvera
L. Preston Sego III,4a12d63cd9b33b9caa746adb6ff9e27716cd842d,passed,2015-05-04T14:35:18Z,NullVoxPopuli,aeonvera
L. Preston Sego III,6e3cfd750b18eb5e28614de839d09e03a1d9fc0c,passed,2017-06-24T23:41:38Z,NullVoxPopuli,aeonvera
balr0g,f4e05b9e696532abf8f466db9f8acd7f7a9ac6e5,passed,2015-07-29T21:39:15Z,balr0g,mame
balr0g,9053c574d66541b96ee0a4f2f29f435655966541,failed,2016-05-27T18:01:19Z,balr0g,mame
Frans de Jonge,6cf98f8b7e11eeaf9b7bfb84048cfc1785ad9eea,failed,2017-08-23T20:31:42Z,FreshRSS,FreshRSS
Frans de Jonge,79faf3dd142325f5460d6dc8a3d278b14953cf32,canceled,2018-12-01T07:00:35Z,FreshRSS,FreshRSS
Alexandre Alapetite,a41b7d8b70e733e85235983f84898587b5cd749f,failed,2017-08-24T16:14:15Z,FreshRSS,FreshRSS
Alexandre Alapetite,a2779af6267df9b0d18de4d75e93602c8213c096,passed,2018-12-01T17:53:31Z,FreshRSS,FreshRSS
Alexis Degrugillier,1ccbccdd3e9a6f3225dd3466112d92b5c6fa0693,passed,2017-09-27T06:07:51Z,FreshRSS,FreshRSS
Alexis Degrugillier,f3893d482a372944762f8e9572c47ed0dd761b1b,failed,2018-08-28T09:50:45Z,FreshRSS,FreshRSS
Marien Fressinaud,3cf0bcbdeb7ddbb0d7dc4d0d5495a9a6f02fc1dc,failed,2017-09-28T17:20:31Z,FreshRSS,FreshRSS
Marien Fressinaud,767ac77ee26316b183955c8bfd132df8ff11dfe1,passed,2018-06-18T20:56:58Z,FreshRSS,FreshRSS
David souza,ac3c24dd83cd60bea50008ecf990900433c729ca,passed,2017-09-30T07:26:09Z,FreshRSS,FreshRSS
David souza,7e9a29b71936c701474c9fe79cb3f2cc4aafda4f,passed,2018-05-20T10:27:17Z,FreshRSS,FreshRSS
hoilc,8c14d9e4ec9e09fad5cc943856ab73713110a19b,passed,2017-10-26T05:30:29Z,FreshRSS,FreshRSS
hoilc,bcb3de3dba15b4fa916292ac74560eb5b0ce5eb2,passed,2018-06-04T03:15:20Z,FreshRSS,FreshRSS
Jan,7d3f634ac46051bc7e53e4fa8ab42576a400dcd7,passed,2017-12-19T07:36:59Z,FreshRSS,FreshRSS
Jan,3ae1b57c9d2e23157be54e8fe9865b85872ff9e7,passed,2018-09-28T09:53:00Z,FreshRSS,FreshRSS
Matt DeMoss,d7740f2be4b014702fe10fdb0c486da99293f3c4,failed,2018-01-11T04:42:53Z,FreshRSS,FreshRSS
Matt DeMoss,f3a88614ef4a2541ee29054124d62c0cdc78f485,passed,2018-11-18T13:08:27Z,FreshRSS,FreshRSS
Seokseong Jeon,55978cbf0881b01ca57a33bab28077f12fdbb868,failed,2018-01-30T14:12:57Z,FreshRSS,FreshRSS
Seokseong Jeon,69928aa7943b0be3f3bcf63afd66787486557c56,failed,2018-08-23T17:09:15Z,FreshRSS,FreshRSS
romibi,a766e41a677bc1822f47950c58ae76dc891b89ca,passed,2018-03-08T12:38:48Z,FreshRSS,FreshRSS
romibi,adcbfc43b866ad2654be3f96e90c650cae224141,passed,2018-11-13T21:29:03Z,FreshRSS,FreshRSS
Brian Jacobel,5a8b42d3b5f3c0fbff25a459a4145f468257a8af,errored,2014-04-07T05:04:32Z,BowdoinOrient,bongo
Brian Jacobel,0fc3045467cb335eeed069a4904f373268e8f688,passed,2014-11-10T00:09:07Z,BowdoinOrient,bongo
Alex Finnarn,656871d3bf7e77d8dc705da6cba6fadcbb1657c6,errored,2016-02-11T00:16:34Z,CuBoulder,express
Alex Finnarn,0f3da63301a5a8181dea5acd679c87ce5b468f6e,errored,2017-12-06T22:48:23Z,CuBoulder,express
James W Fuller,fbe2a1c83e0543fb64d7a03198782b06026c895f,errored,2016-02-25T18:38:45Z,CuBoulder,express
James W Fuller,aa244038c19db28207d949103c3ee60db8ecc344,passed,2017-11-03T18:11:47Z,CuBoulder,express
kevincrafts,b3dfc45cbdbbdc86b1d7266bb906d24a401f827b,errored,2016-02-25T20:56:30Z,CuBoulder,express
kevincrafts,e0694fd564c45d3a6e164624c005c2b0cb927fcd,failed,2017-12-06T17:23:48Z,CuBoulder,express
Kevin Reynen,ec24494e319d5b7b813cecf40ace60e7b3957190,errored,2016-03-01T22:52:21Z,CuBoulder,express
Kevin Reynen,959b5149264b241c12d72328f88c273a4ed819e8,failed,2017-12-01T16:47:13Z,CuBoulder,express
James Fuller,dd0a87ec49d08238e723989faafc1c9c1f9c7148,errored,2016-03-08T15:11:47Z,CuBoulder,express
James Fuller,0aebf484bcb9318c9c24f7a95b80730eed40f211,passed,2017-07-24T15:04:52Z,CuBoulder,express
kreynen,008f45e2ee7be611d71662921b3e8a2120b9eccf,errored,2016-03-24T19:21:57Z,CuBoulder,express
kreynen,0058d37d045c71f1e2d1181fbc0cad0a915bf8b4,failed,2017-12-01T18:51:56Z,CuBoulder,express
Owen Morrill,43fc1cf1c6f7f2b83b7010b7703ca4edde80142d,failed,2016-11-08T22:45:13Z,CuBoulder,express
Owen Morrill,3ecaf20a1192aa278d1be68ca3a143921736d1fb,passed,2017-10-26T20:28:08Z,CuBoulder,express
ChrisBAshton,8deccd34dee0dbbabcf7f5e7edec18ee1b444caa,passed,2015-05-21T15:36:44Z,BBCVisualJournalism,grunt-deploy-to-env
ChrisBAshton,b635b591951d5b66922c18b1b216551fc106aeac,passed,2016-01-18T15:41:15Z,BBCVisualJournalism,grunt-deploy-to-env
Jannik Lorenz,d7fcb3b39692bf22ea1a82762eb7ca7867b5173f,canceled,2017-08-02T17:27:34Z,DigitalShooting,DSC
Jannik Lorenz,690a029cab7ea0c3ff299679767b6275caa7c303,errored,2018-05-21T17:18:32Z,DigitalShooting,DSC
Itay Adler,b5c13069f53bca1ce7e66e6903d0eee2dbfbfb0c,failed,2014-01-16T10:08:27Z,BlueHotDog,sails-migrations
Itay Adler,f5e4c259ba441313901fd924e9795b2065bddab2,passed,2014-11-15T21:25:27Z,BlueHotDog,sails-migrations
